Time;Distance
18:50:30.148;15.84
18:50:30.182;15.84
18:50:30.258;15.78
18:50:30.340;15.71
18:50:30.418;15.66
18:50:30.495;15.18
18:50:30.575;15.13
18:50:30.655;15.08
18:50:30.735;15.44
18:50:30.811;15.32
18:50:30.890;15.25
18:50:30.971;14.77
18:50:31.048;14.72
18:50:31.126;14.67
18:50:31.208;15.01
18:50:31.287;14.96
18:50:31.364;14.84
18:50:31.441;14.88
18:50:31.524;14.42
18:50:31.603;14.35
18:50:31.680;14.3
18:50:31.758;14.54
18:50:31.838;14.48
18:50:31.916;14.37
18:50:31.995;13.89
18:50:32.072;13.84
18:50:32.156;13.79
18:50:32.231;14.14
18:50:32.310;14.08
18:50:32.388;13.96
18:50:32.469;13.89
18:50:32.548;13.43
18:50:32.625;13.46
18:50:32.703;13.82
18:50:32.782;13.67
18:50:32.863;13.6
18:50:32.943;13.48
18:50:33.019;13.02
18:50:33.097;12.95
18:50:33.179;13.31
18:50:33.256;13.24
18:50:33.333;13.29
18:50:33.413;13.21
18:50:33.494;13.02
18:50:33.571;13.01
18:50:33.651;12.95
18:50:33.727;12.84
18:50:33.806;12.77
18:50:33.888;12.82
18:50:33.964;12.77
18:50:34.044;12.6
18:50:34.120;12.48
18:50:34.202;12.43
18:50:34.280;12.36
18:50:34.357;12.41
18:50:34.436;12.36
18:50:34.517;12.19
18:50:34.594;12.14
18:50:34.673;12.48
18:50:34.751;11.95
18:50:34.829;12
18:50:34.912;11.83
18:50:34.989;11.76
18:50:35.066;11.71
18:50:35.144;11.66
18:50:35.222;11.65
18:50:35.304;11.49
18:50:35.383;11.42
18:50:35.460;11.36
18:50:35.538;11.41
18:50:35.616;11.34
18:50:35.697;11.61
18:50:35.776;11.48
18:50:35.854;11.02
18:50:35.931;11.05
18:50:36.012;10.9
18:50:36.092;10.83
18:50:36.167;11.19
18:50:36.246;11.24
18:50:36.325;10.61
18:50:36.405;10.54
18:50:36.485;10.57
18:50:36.562;10.52
18:50:36.639;10.78
18:50:36.718;10.71
18:50:36.799;10.69
18:50:36.876;10.64
18:50:36.954;10.06
18:50:37.032;10.01
18:50:37.110;10.46
18:50:37.187;10.3
18:50:37.270;10.18
18:50:37.348;10.23
18:50:37.426;9.66
18:50:37.504;9.59
18:50:37.583;10.05
18:50:37.663;9.89
18:50:37.742;9.78
18:50:37.818;9.81
18:50:37.896;9.66
18:50:37.974;9.61
18:50:38.052;9.64
18:50:38.134;9.47
18:50:38.211;9.45
18:50:38.290;9.3
18:50:38.367;8.82
18:50:38.445;8.87
18:50:38.523;9.11
18:50:38.605;9.18
18:50:38.683;9.42
18:50:38.761;8.48
18:50:38.839;8.52
18:50:38.917;8.35
18:50:38.995;8.4
18:50:39.077;8.65
18:50:39.155;8.23
18:50:39.232;8.06
18:50:39.310;8.11
18:50:39.389;7.96
18:50:39.467;7.99
18:50:39.543;7.82
18:50:39.625;7.87
18:50:39.704;7.65
18:50:39.781;8.18
18:50:39.858;7.68
18:50:39.936;7.17
18:50:40.014;NaN
