Time;Distance
10:51:49.145;15.79
10:51:49.194;15.79
10:51:49.270;15.79
10:51:49.348;15.74
10:51:49.428;15.67
10:51:49.508;15.15
10:51:49.586;15.1
10:51:49.664;15.5
10:51:49.742;15.44
10:51:49.824;15.32
10:51:49.902;15.27
10:51:49.979;15.22
10:51:50.058;14.74
10:51:50.140;14.77
10:51:50.217;14.71
10:51:50.294;14.98
10:51:50.373;14.93
10:51:50.455;14.81
10:51:50.532;14.33
10:51:50.610;14.26
10:51:50.689;14.21
10:51:50.770;14.55
10:51:50.848;14.5
10:51:50.925;14.43
10:51:51.004;14.38
10:51:51.085;14.43
10:51:51.165;14.26
10:51:51.241;14.21
10:51:51.319;14.14
10:51:51.401;14.04
10:51:51.479;13.96
10:51:51.556;13.92
10:51:51.634;13.43
10:51:51.716;13.91
10:51:51.794;13.84
10:51:51.871;13.69
10:51:51.949;13.62
10:51:52.029;13.5
10:51:52.109;13.43
10:51:52.187;13.38
10:51:52.265;13.43
10:51:52.345;13.38
10:51:52.425;13.21
10:51:52.504;13.14
10:51:52.580;13.09
10:51:52.659;13.02
10:51:52.736;13.07
10:51:52.819;12.95
10:51:52.896;13.26
10:51:52.974;12.73
10:51:53.053;12.67
10:51:53.133;12.72
10:51:53.212;12.65
10:51:53.289;12.5
10:51:53.366;12.43
10:51:53.444;12.78
10:51:53.528;12.38
10:51:53.604;12.31
10:51:53.682;12.14
10:51:53.760;12.09
10:51:53.839;12.02
10:51:53.920;12.53
10:51:53.997;12.31
10:51:54.076;12.26
10:51:54.155;12.21
10:51:54.232;12.24
10:51:54.312;12.19
10:51:54.390;12.02
10:51:54.469;11.9
10:51:54.546;11.85
10:51:54.624;11.48
10:51:54.707;11.32
10:51:54.784;11.25
10:51:54.862;11.71
10:51:54.941;11.66
10:51:55.017;11.49
10:51:55.099;10.97
10:51:55.177;11
10:51:55.254;10.85
10:51:55.332;10.78
10:51:55.410;11.24
10:51:55.492;11.19
10:51:55.571;11.02
10:51:55.647;10.49
10:51:55.727;10.54
10:51:55.804;10.37
10:51:55.887;10.78
10:51:55.963;10.76
10:51:56.041;10.61
10:51:56.119;10.54
10:51:56.197;10.59
10:51:56.275;10.44
10:51:56.358;10.37
10:51:56.436;10.42
10:51:56.512;10.2
10:51:56.590;10.15
10:51:56.668;9.78
10:51:56.747;9.61
10:51:56.823;9.55
10:51:56.905;10.01
10:51:56.985;9.84
10:51:57.062;9.42
10:51:57.139;9.25
10:51:57.217;9.3
10:51:57.295;9.25
10:51:57.377;9.08
10:51:57.456;9.54
10:51:57.532;9.37
10:51:57.609;8.94
10:51:57.687;8.79
10:51:57.765;9.3
10:51:57.847;8.72
10:51:57.925;8.77
10:51:58.004;8.6
10:51:58.082;8.64
10:51:58.158;9.06
10:51:58.237;8.48
10:51:58.314;8.99
10:51:58.396;8.84
10:51:58.473;8.47
10:51:58.552;8.77
10:51:58.630;8.42
10:51:58.708;8.25
10:51:58.785;8.35
10:51:58.863;8.19
10:51:58.945;8.23
10:51:59.023;8.13
10:51:59.102;8.18
10:51:59.179;8.48
10:51:59.259;8.11
10:51:59.334;8.43
10:51:59.414;8.06
10:51:59.494;8.36
10:51:59.571;8.01
10:51:59.649;8.31
10:51:59.728;7.94
10:51:59.805;7.79
10:51:59.884;8.3
10:51:59.960;7.72
10:52:00.038;7.82
10:52:00.120;7.65
10:52:00.198;7.77
10:52:00.277;8.08
10:52:00.353;7.7
10:52:00.431;7.7
10:52:00.510;7.12
10:52:00.587;NaN
