Time;Distance
16:41:18.378;15.86
16:41:18.425;15.84
16:41:18.502;15.79
16:41:18.580;15.73
16:41:18.663;15.67
16:41:18.742;15.62
16:41:18.819;15.15
16:41:18.896;15.1
16:41:18.977;15.03
16:41:19.056;15.39
16:41:19.135;15.33
16:41:19.211;15.22
16:41:19.293;14.74
16:41:19.372;14.77
16:41:19.449;14.72
16:41:19.527;14.98
16:41:19.610;14.91
16:41:19.687;14.86
16:41:19.765;14.79
16:41:19.841;14.74
16:41:19.925;14.26
16:41:20.002;14.21
16:41:20.079;14.57
16:41:20.157;14.5
16:41:20.239;14.45
16:41:20.318;14.43
16:41:20.395;13.96
16:41:20.473;13.8
16:41:20.555;14.21
16:41:20.634;14.14
16:41:20.711;14.09
16:41:20.788;13.97
16:41:20.868;13.92
16:41:20.948;13.55
16:41:21.027;13.48
16:41:21.105;13.74
16:41:21.181;13.67
16:41:21.265;13.62
16:41:21.342;13.55
16:41:21.419;13.5
16:41:21.496;13.55
16:41:21.580;12.95
16:41:21.657;13.31
16:41:21.734;13.26
16:41:21.812;13.21
16:41:21.890;13.14
16:41:21.972;13.19
16:41:22.050;13.02
16:41:22.128;12.95
16:41:22.205;12.9
16:41:22.289;12.85
16:41:22.364;12.89
16:41:22.443;12.82
16:41:22.520;12.67
16:41:22.601;12.61
16:41:22.680;12.55
16:41:22.758;12.6
16:41:22.836;12.53
16:41:22.914;12.38
16:41:22.991;12.33
16:41:23.074;12.24
16:41:23.151;12.31
16:41:23.229;12.14
16:41:23.307;12.09
16:41:23.384;12.09
16:41:23.468;12.55
16:41:23.544;12.48
16:41:23.624;12.31
16:41:23.700;12.26
16:41:23.778;11.78
16:41:23.860;11.83
16:41:23.937;11.66
16:41:24.015;11.59
16:41:24.094;11.97
16:41:24.171;12
16:41:24.254;11.42
16:41:24.332;11.37
16:41:24.410;11.42
16:41:24.488;11.36
16:41:24.564;11.66
16:41:24.646;11.61
16:41:24.724;11.65
16:41:24.802;11.59
16:41:24.881;11.44
16:41:24.957;10.97
16:41:25.039;11.02
16:41:25.119;10.83
16:41:25.195;10.8
16:41:25.273;11.31
16:41:25.351;11.24
16:41:25.432;11.07
16:41:25.510;11.02
16:41:25.589;10.66
16:41:25.666;10.49
16:41:25.746;10.44
16:41:25.828;10.95
16:41:25.905;10.37
16:41:25.983;10.8
16:41:26.059;10.83
16:41:26.138;10.66
16:41:26.215;10.61
16:41:26.296;10.23
16:41:26.376;10.08
16:41:26.452;10.01
16:41:26.530;10.12
16:41:26.610;9.95
16:41:26.687;10.37
16:41:26.769;10.42
16:41:26.847;10.25
16:41:26.923;10.66
16:41:27.002;10.29
16:41:27.079;10.13
16:41:27.162;9.66
16:41:27.239;9.71
16:41:27.317;9.54
16:41:27.394;10.06
16:41:27.473;9.89
16:41:27.550;9.91
16:41:27.628;9.95
16:41:27.710;9.78
16:41:27.788;10.29
16:41:27.865;9.25
16:41:27.945;9.67
16:41:28.021;9.3
16:41:28.102;9.61
16:41:28.177;9.23
16:41:28.259;9.06
16:41:28.338;9.59
16:41:28.414;9.44
16:41:28.494;9.44
16:41:28.570;9.47
16:41:28.648;8.89
16:41:28.730;8.94
16:41:28.808;8.84
16:41:28.887;8.87
16:41:28.964;8.77
16:41:29.041;9.3
16:41:29.120;8.72
16:41:29.196;9.25
16:41:29.279;8.77
16:41:29.357;8.6
16:41:29.434;9.13
16:41:29.512;8.55
16:41:29.590;9.06
16:41:29.668;8.48
16:41:29.747;9.01
16:41:29.829;8.42
16:41:29.905;8.53
16:41:29.984;8.36
16:41:30.061;8.47
16:41:30.140;8.77
16:41:30.216;8.42
16:41:30.296;8.3
16:41:30.376;8.36
16:41:30.454;8.25
16:41:30.532;8.28
16:41:30.609;8.19
16:41:30.689;8.23
16:41:30.766;8.14
16:41:30.843;8.65
16:41:30.927;8.08
16:41:31.004;8.18
16:41:31.082;8.48
16:41:31.158;8.11
16:41:31.236;8.01
16:41:31.316;8.06
16:41:31.392;7.96
16:41:31.470;8.06
16:41:31.551;8.36
16:41:31.629;7.99
16:41:31.709;7.89
16:41:31.785;8.42
16:41:31.864;7.84
16:41:31.941;7.94
16:41:32.019;7.87
16:41:32.101;7.77
16:41:32.179;8.3
16:41:32.257;7.72
16:41:32.334;7.82
16:41:32.412;7.67
16:41:32.491;7.77
16:41:32.569;7.67
16:41:32.645;7.75
16:41:32.727;7.6
16:41:32.804;7.7
16:41:32.883;7.6
16:41:32.961;8.11
16:41:33.039;7.65
16:41:33.116;7.55
16:41:33.195;7.65
16:41:33.273;7.96
16:41:33.354;8.06
16:41:33.433;7.48
16:41:33.509;7.58
16:41:33.587;7.89
16:41:33.666;7.53
16:41:33.744;7.43
16:41:33.821;7.94
16:41:33.903;7.43
16:41:33.982;7.46
16:41:34.059;7.89
16:41:34.138;7.31
16:41:34.215;7.41
16:41:34.292;7.29
16:41:34.370;NaN
