Time;Distance
16:55:20.790;15.78
16:55:20.835;15.78
16:55:20.913;15.78
16:55:20.996;15.73
16:55:21.073;15.67
16:55:21.151;15.61
16:55:21.230;15.15
16:55:21.311;15.15
16:55:21.388;15.18
16:55:21.466;15.18
16:55:21.544;15.59
16:55:21.626;15.42
16:55:21.705;15.37
16:55:21.781;15.27
16:55:21.861;15.2
16:55:21.942;14.72
16:55:22.020;14.72
16:55:22.098;14.67
16:55:22.176;14.67
16:55:22.257;15.03
16:55:22.336;14.96
16:55:22.412;14.94
16:55:22.491;14.89
16:55:22.572;14.94
16:55:22.649;14.88
16:55:22.728;14.79
16:55:22.805;14.31
16:55:22.887;14.72
16:55:22.965;14.25
16:55:23.043;14.2
16:55:23.120;14.54
16:55:23.204;14.48
16:55:23.280;14.48
16:55:23.360;14.42
16:55:23.437;14.47
16:55:23.518;14.31
16:55:23.597;14.31
16:55:23.674;13.84
16:55:23.753;13.77
16:55:23.829;14.13
16:55:23.912;14.08
16:55:23.990;14.03
16:55:24.069;14.06
16:55:24.145;13.96
16:55:24.226;13.89
16:55:24.306;13.91
16:55:24.381;13.84
16:55:24.460;13.36
16:55:24.543;13.79
16:55:24.622;13.82
16:55:24.699;13.75
16:55:24.776;13.62
16:55:24.853;13.48
16:55:24.937;13.48
16:55:25.015;13.41
16:55:25.090;13.36
16:55:25.169;13.41
16:55:25.250;13.31
16:55:25.328;13.24
16:55:25.406;13.67
16:55:25.483;13.14
16:55:25.562;13.12
16:55:25.644;13.18
16:55:25.722;13.01
16:55:25.801;12.95
16:55:25.877;12.89
16:55:25.959;12.85
16:55:26.038;12.87
16:55:26.115;12.78
16:55:26.194;13.19
16:55:26.271;13.14
16:55:26.353;12.65
16:55:26.430;12.7
16:55:26.508;12.65
16:55:26.586;12.5
16:55:26.668;12.43
16:55:26.745;12.43
16:55:26.823;12.48
16:55:26.902;12.78
16:55:26.979;12.72
16:55:27.060;12.19
16:55:27.139;12.14
16:55:27.217;12.24
16:55:27.294;12.07
16:55:27.373;12.07
16:55:27.454;12.02
16:55:27.531;12.46
16:55:27.610;12.31
16:55:27.689;11.83
16:55:27.765;11.76
16:55:27.847;11.82
16:55:27.925;11.66
16:55:28.003;12.07
16:55:28.082;12.02
16:55:28.160;12.05
16:55:28.240;11.83
16:55:28.318;11.83
16:55:28.396;11.36
16:55:28.474;11.41
16:55:28.553;11.25
16:55:28.635;11.59
16:55:28.711;11.54
16:55:28.790;11.59
16:55:28.868;10.95
16:55:28.946;11.36
16:55:29.028;11
16:55:29.104;10.85
16:55:29.183;11.19
16:55:29.261;11.12
16:55:29.338;11.17
16:55:29.419;10.54
16:55:29.498;10.49
16:55:29.575;10.52
16:55:29.655;10.83
16:55:29.731;10.78
16:55:29.810;10.81
16:55:29.891;10.66
16:55:29.968;10.59
16:55:30.047;10.23
16:55:30.124;10.08
16:55:30.203;10.01
16:55:30.284;10.05
16:55:30.363;10.35
16:55:30.441;10.3
16:55:30.517;10.35
16:55:30.596;9.72
16:55:30.673;9.66
16:55:30.751;10.17
16:55:30.835;10.01
16:55:30.911;9.64
16:55:30.989;9.89
16:55:31.066;9.84
16:55:31.144;9.4
16:55:31.223;9.25
16:55:31.304;9.76
16:55:31.383;9.18
16:55:31.459;9.64
16:55:31.537;9.59
16:55:31.616;8.96
16:55:31.693;8.99
16:55:31.771;8.82
16:55:31.855;9.35
16:55:31.931;9.18
16:55:32.010;8.76
16:55:32.087;8.6
16:55:32.164;8.64
16:55:32.243;8.47
16:55:32.321;8.52
16:55:32.402;8.36
16:55:32.481;8.42
16:55:32.557;8.28
16:55:32.635;8.23
16:55:32.713;8.16
16:55:32.792;8.11
16:55:32.869;8.52
16:55:32.950;8.36
16:55:33.028;7.99
16:55:33.109;7.94
16:55:33.184;8.23
16:55:33.262;7.75
16:55:33.340;8.06
16:55:33.417;7.7
16:55:33.499;7.53
16:55:33.578;7.99
16:55:33.655;7.84
16:55:33.733;7.41
16:55:33.810;7.24
16:55:33.889;NaN
