Time;Distance
10:56:25.602;15.56
10:56:25.650;16.01
10:56:25.729;15.56
10:56:25.805;15.49
10:56:25.887;15.84
10:56:25.966;15.79
10:56:26.042;15.67
10:56:26.122;15.2
10:56:26.203;15.15
10:56:26.282;15.08
10:56:26.358;15.5
10:56:26.436;15.37
10:56:26.518;15.32
10:56:26.597;15.25
10:56:26.675;15.2
10:56:26.756;15.13
10:56:26.833;14.67
10:56:26.912;15.13
10:56:26.989;15.06
10:56:27.066;14.84
10:56:27.148;14.79
10:56:27.228;14.31
10:56:27.304;14.25
10:56:27.382;14.2
10:56:27.459;14.54
10:56:27.541;14.48
10:56:27.621;14.43
10:56:27.698;14.37
10:56:27.777;13.96
10:56:27.858;14.26
10:56:27.935;14.2
10:56:28.013;14.14
10:56:28.091;14.03
10:56:28.172;13.96
10:56:28.250;13.91
10:56:28.328;13.84
10:56:28.406;13.89
10:56:28.488;13.82
10:56:28.566;13.67
10:56:28.644;13.6
10:56:28.722;13.48
10:56:28.800;13.43
10:56:28.881;13.38
10:56:28.959;13.41
10:56:29.038;13.33
10:56:29.114;13.19
10:56:29.197;13.14
10:56:29.274;13.02
10:56:29.353;13.02
10:56:29.430;13.07
10:56:29.508;13.31
10:56:29.590;13.26
10:56:29.667;12.73
10:56:29.746;12.67
10:56:29.825;12.7
10:56:29.905;12.65
10:56:29.984;12.5
10:56:30.062;12.84
10:56:30.138;12.78
10:56:30.218;12.34
10:56:30.298;12.29
10:56:30.375;12.14
10:56:30.454;12.07
10:56:30.532;12.02
10:56:30.609;12.46
10:56:30.693;12.31
10:56:30.769;11.78
10:56:30.847;11.73
10:56:30.926;11.76
10:56:31.003;12.07
10:56:31.084;11.95
10:56:31.164;11.9
10:56:31.240;11.95
10:56:31.318;11.78
10:56:31.397;11.73
10:56:31.477;11.66
10:56:31.556;11.71
10:56:31.633;11.49
10:56:31.711;11.42
10:56:31.789;10.95
10:56:31.871;11
10:56:31.949;10.83
10:56:32.028;11.19
10:56:32.104;11.24
10:56:32.182;11.07
10:56:32.264;10.54
10:56:32.343;10.59
10:56:32.420;10.52
10:56:32.497;10.37
10:56:32.577;10.73
10:56:32.659;10.76
10:56:32.735;10.12
10:56:32.815;10.06
10:56:32.890;10.12
10:56:32.969;9.95
10:56:33.046;10.4
10:56:33.129;10.35
10:56:33.206;10.18
10:56:33.284;9.76
10:56:33.362;9.61
10:56:33.441;9.54
10:56:33.518;10.05
10:56:33.600;9.83
10:56:33.677;9.88
10:56:33.755;9.72
10:56:33.833;9.25
10:56:33.910;9.28
10:56:33.989;9.55
10:56:34.070;9.59
10:56:34.144;9.84
10:56:34.227;8.99
10:56:34.303;8.84
10:56:34.382;8.77
10:56:34.459;8.82
10:56:34.537;8.65
10:56:34.616;9.11
10:56:34.696;8.48
10:56:34.775;8.52
10:56:34.854;8.36
10:56:34.931;8.42
10:56:35.008;8.25
10:56:35.087;8.28
10:56:35.164;8.13
10:56:35.247;8.18
10:56:35.323;8.01
10:56:35.402;8.04
10:56:35.479;8.31
10:56:35.557;8.35
10:56:35.635;7.72
10:56:35.713;7.75
10:56:35.791;7.6
10:56:35.874;7.63
10:56:35.951;7.48
10:56:36.028;7.53
10:56:36.107;7.46
10:56:36.184;7.41
10:56:36.263;7.75
10:56:36.339;6.72
10:56:36.422;6.75
10:56:36.499;6.66
10:56:36.578;6.82
10:56:36.656;7.67
10:56:36.732;7.41
10:56:36.812;7.72
10:56:36.888;7.34
10:56:36.966;6.82
10:56:37.049;6.65
10:56:37.125;6.75
10:56:37.203;6.72
10:56:37.281;7.75
10:56:37.359;7.29
10:56:37.438;7.41
10:56:37.514;7.34
10:56:37.594;6.82
10:56:37.670;6.75
10:56:37.752;7.12
10:56:37.830;6.82
10:56:37.910;6.72
10:56:37.987;7.29
10:56:38.065;7.24
10:56:38.142;7.34
10:56:38.219;7.29
10:56:38.297;7.12
10:56:38.379;6.75
10:56:38.459;7
10:56:38.534;NaN
