Samples;Speed
0;255
1;255
2;255
3;255
4;255
5;255
6;230
7;230
8;229
9;254
10;254
11;251
12;225
13;230
14;230
15;249
16;247
17;248
18;246
19;247
20;221
21;220
22;245
23;244
24;244
25;245
26;220
27;213
28;241
29;239
30;239
31;235
32;234
33;215
34;213
35;231
36;230
37;229
38;228
39;227
40;233
41;199
42;223
43;223
44;222
45;221
46;226
47;218
48;216
49;216
50;215
51;220
52;218
53;211
54;210
55;208
56;213
57;211
58;205
59;204
60;200
61;207
62;198
63;197
64;200
65;229
66;227
67;219
68;218
69;191
70;196
71;188
72;185
73;210
74;214
75;181
76;180
77;184
78;183
79;202
80;201
81;205
82;204
83;196
84;170
85;174
86;165
87;164
88;196
89;194
90;185
91;184
92;164
93;155
94;153
95;186
96;152
97;179
98;183
99;174
100;172
101;151
102;143
103;140
104;148
105;139
106;165
107;170
108;161
109;187
110;166
111;158
112;130
113;135
114;125
115;158
116;149
117;151
118;155
119;145
120;177
121;116
122;142
123;121
124;140
125;119
126;109
127;142
128;134
129;135
130;138
131;104
132;107
133;102
134;105
135;99
136;132
137;98
138;131
139;103
140;93
141;126
142;91
143;123
144;89
145;121
146;86
147;94
148;84
149;91
150;110
151;89
152;83
153;87
154;81
155;83
156;78
157;81
158;76
159;107
160;74
161;80
162;99
163;77
164;71
165;75
166;69
167;75
168;94
169;72
170;67
171;99
172;64
173;71
174;67
175;61
176;93
177;59
178;65
179;57
180;63
181;57
182;62
183;54
184;60
185;54
186;85
187;58
188;52
189;58
190;77
191;84
192;49
193;55
194;74
195;53
196;47
197;78
198;48
199;50
200;76
201;41
202;47
203;40
