Samples;Time
0;28
1;78
2;79
3;79
4;79
5;79
6;79
7;78
8;79
9;79
10;79
11;79
12;79
13;79
14;78
15;79
16;79
17;79
18;78
19;79
20;78
21;79
22;79
23;79
24;79
25;79
26;79
27;77
28;79
29;79
30;79
31;79
32;79
33;78
34;79
35;78
36;79
37;79
38;79
39;79
40;78
41;78
42;79
43;79
44;79
45;79
46;77
47;79
48;79
49;79
50;79
51;78
52;78
53;79
54;79
55;79
56;78
57;79
58;79
59;78
60;78
61;79
62;79
63;79
64;78
65;78
66;79
67;79
68;78
69;79
70;79
71;79
72;77
73;79
74;79
75;78
76;79
77;79
78;78
79;78
80;79
81;79
82;78
83;79
84;78
85;78
86;79
87;79
88;78
89;79
90;78
91;78
92;79
93;79
94;78
95;79
96;77
97;79
98;79
99;78
100;79
101;78
102;79
103;78
104;78
105;79
106;78
107;79
108;78
109;78
110;78
111;79
112;78
113;79
114;78
115;78
116;78
117;79
118;78
119;79
120;78
121;78
122;78
123;79
124;78
125;79
126;NaN
